"AGENCIAS","Mora.Media","CAR.Media","Mora.8.30.Media","Judicial.Media","Cartera.Pesada.Promedio","Tasa.de.rentabilidad.Bruta","Ingreso.Promedio","Margen.Financiero.Mes.M","Intereses.de.Credito.Jun.17","Utilidad.Mes.M","Clientes","Cuentas","Desembolsos","Saldo","Meses.en.Funcion"
"Agencia_11",0.0867815423410403,0.143100588014597,0.0383476329241638,0.0935331703604211,0.122316416165576,1.85975824819606,219864.4166,828387.1389,1809341.1,4081.6754,1779,2097,1702800,18059168.91,76.7145790554415
"Agencia_12",0.108883699493484,0.139625720954506,0.0382420300540625,0.0783726937107789,0.125252364782263,1.82438049426234,551666.266894118,2065835.0845,3278040.75,477700.5147,3356,3935,3361854.2,33852019.38,121.856262833676
"Agencia_13",0.0722953657280582,0.0801084790072477,0.024551691009628,0.0426059772550717,0.0991512611340456,1.65248287216611,73588.4522235294,541463.4177,949915.56,60470.7441,389,429,786100,7376910.91,83.482546201232
"Agencia_14",0.0924118601203422,0.0974506082387114,0.0413776028384372,0.0646190867198391,0.113076229425968,1.88506857114219,578014.643894118,1719894.6184,3304736.7,214730.6329,2519,2714,3311450,31080806,17.9712525667351
"Agencia_15",0.0573373273365313,0.0642489760452538,0.0529528476845654,0.0388606547671344,0.0983750491547866,1.93387844856108,502473.617152941,1882822.7378,3351516.03,261003.5052,3355,3580,2069230,30226659.56,5.19096509240246
"Agencia_16",0.0715372747117426,0.0844203896229936,0.0323906869733738,0.0539942079828839,0.082071775470586,1.88506857114219,554299.235605882,2630687.7161,3498282.2,549259.5611,4132,4666,3062150,33377618.85,112.591375770021
"Agencia_17",0.0601205069161352,0.0868584071158078,0.0430184437630236,0.0389418150791241,0.0856885262837377,1.88753175667105,373824.776064706,1367065.0755,2392882.89,207819.7774,2132,2339,2396488,24580090.84,7.68788501026694
"Agencia_18",0.0319155584004996,0.037057491428575,0.0418221283825965,0.0154610058406214,0.0600914394662585,1.88828707661399,492433.997005882,2020714.4655,3045292.84,449188.7485,3045,3751,2642400,28462926.42,53.5852156057495
"Agencia_19",0.0540789625412176,0.0574382182612062,0.0355192919563024,0.0203006377828605,0.0586596700218529,1.63443747979474,528295.766305882,2741142.6635,3217535,815918.5455,2613,2852,3928726.07,36831779.63,67.5154004106776
"Agencia_20",0.0354087593724983,0.0401918776923373,0.018152077645548,0.0275386037830137,0.0517842313571701,1.51549321612656,541156.805882353,2209390.8046,3243343.08,472350.9789,3485,3699,2760130.04,38013848.78,18.0698151950719
"Agencia_21",0.0460997680459645,0.0556654570256007,0.0259142512063337,0.0299635178455636,0.070065654399778,1.94465113771104,301471.663794118,1060601.8185,1974664.91,109011.9226,2753,2922,1852880,19078687.86,139.794661190965
"Agencia_22",0.0462448098136148,0.0519636758389726,0.0343405649963046,0.0300000801672433,0.0721067037678249,1.99622447011123,604785.342058824,2514186.2831,3923467.45,556767.4168,4112,4631,2969837,35083871.51,102.439425051335
"Agencia_23",0.0268010875536961,0.0325091032073537,0.0321156863347588,0.0147817906950907,0.0487006403262697,1.92998115897329,387070.679541177,1418809.0812,2548531.82,202332.078,2614,2910,2552630,23951236.62,143.802874743326
"Agencia_24",0.026317612335282,0.0277488644739175,0.0162088722777373,0.0130672379660561,0.0546745426282619,2.12786755986396,226962.388482353,863503.5983,1399047.89,119860.5208,1018,1131,1123600,11059908.34,57.9548254620123
"Agencia_25",0.026277081983905,0.0285634019443095,0.0255347250037565,0.0164112337332423,0.0466047757754481,1.82062051461286,732421.886411765,2953777.7761,4353128.82,665063.3152,4779,5646,4191183.37,43427332.85,20.0082135523614
"Agencia_26",0.0442742703986013,0.0537412231390634,0.0300558874612871,0.0251272882343294,0.0580314200284037,2.08736713282976,318819.606429412,1357251.2902,2139992.82,173185.7634,3405,3716,1905590,18767266.93,10.9404517453799
"Agencia_27",0.0172137088874048,0.0262204129767056,0.0425895686069966,0.00984310485994039,0.0488056640303726,1.90603074524829,131379.732352941,660770.7269,1110978.27,-23657.8803,1347,1465,1273100,10488340.65,173.667351129363
"Agencia_28",0.0390553065284147,0.0446569722236617,0.0298847972760759,0.0236345415726114,0.0590060639292053,1.89451837054484,720664.540341177,3331226.302,4549122.4,782289.3578,4852,5517,3900550,42217623.48,102.110882956879
"Agencia_29",0.0322596410276242,0.0377118869789645,0.026393718336076,0.0216850696913721,0.0578292757969435,1.74534095463219,646139.571976471,2321692.7793,3332307.53,485184.671,3689,4175,2792976.92,32899522.14,70.0451745379877
"Agencia_30",0.0471353278207374,0.0603809249824884,0.0331292443051985,0.0290845721762383,0.0817687632766857,1.84553159372849,483383.879047059,1664093.0793,3082390.95,208070.733,3335,3697,2219659.6,28118312.64,228.402464065708
"Agencia_31",0.0265485962561223,0.02760214950752,0.0268756437176356,0.0150308093923977,0.0562365334848212,2.04633989566963,477091.381105882,1802955.8411,2951420.71,346479.2308,3355,3891,2030503.43,25310157.86,205.17453798768
"Agencia_32",0.0345060724703094,0.0431166530735077,0.0273346886497744,0.0199453345934908,0.0520103087223798,1.80128825589615,804038.465394118,3675729.3421,5023270.24,950512.2523,4814,5553,4314885,49730057.82,129.905544147844
"Agencia_33",0.017314312206717,0.026858456496329,0.0379814365659205,0.00833998781812264,0.0327125592183296,2.00995456177871,365113.478205882,1499988.7369,2423576.83,266945.8512,2296,2469,2148790,22003383.63,44.1560574948665
"Agencia_34",0.0239370643338484,0.0270048485648071,0.0320532394881332,0.0124558799074489,0.0450979753561967,1.97209030892628,444038.571641176,1815692.1735,2868028.8,281982.0377,2978,3481,2677781,28619819.4,11.9917864476386
"Agencia_35",0.023417904168174,0.0320030499532355,0.0338786460055948,0.0123569180528315,0.041688969935236,1.98442078300892,769734.2549,3775633.0158,4970751.47,935600.6878,5624,6224,3599450,44577247.96,17.9712525667351
"Agencia_36",0.0245367247153365,0.0295150110305876,0.050218664004164,0.0127717079564447,0.0541640470532284,2.00779683283791,324604.560941176,1182794.0828,2253281.1,140879.8396,2458,2713,1597800,19992294.5,17.9712525667351
"Agencia_37",0.0296475232024298,0.0387405091592591,0.0404407990962258,0.0112339988343695,0.042976624051483,1.82062051461286,131655.701875,691093.2635,1325038.56,-5393.0159,1280,1423,1777215.68,13786571.26,19.1868583162218
"Agencia_38",0.0327082431667044,0.0333291673009935,0.0236247141962225,0.0208994987856672,0.0486023267531913,2.09912035376826,551115.475764706,2483183.8483,3676683.04,471891.2721,3375,3760,2958228,30644432.88,21.9466119096509
"Agencia_39",0.0415977094512032,0.0624865939217094,0.0357694679294285,0.0243794878408932,0.0995849403206761,1.81960368384726,763281.335235294,2348338.6368,4733436.63,365155.7798,4893,5434,3875170,47237973.18,57.1334702258727
"Agencia_40",0.0266615986038013,0.0308390256703354,0.0420150023731595,0.0116145798569255,0.0455980611167597,1.81477638513912,621102.518582353,2689665.0267,3886541.48,665500.0645,3900,4115,4124980,35476083.64,31.3757700205339
"Agencia_41",0.0196576537828953,0.0457078042998603,0.0159370478632742,0.0107462964597194,0.0353320738473652,1.74240896257279,477177.646170588,1966566.4726,3070914.63,386573.8167,3448,3685,1538550,28291091.95,85.3223819301848
"Agencia_42",0.0518907872113233,0.0537784726571099,0.0239181527440261,0.0368248394170453,0.0590274023316123,1.99966116826526,725566.786970588,3415905.6812,4615870.14,800717.9678,6072,7198,3588312.94,40514852.01,56.1806981519507
"Agencia_43",0.0484907700681338,0.0561620668582954,0.030158483185217,0.0314256508268068,0.0837881208569603,2.20678598779755,210458.623711765,771687.432,1396087.17,103976.8303,1272,1394,959300,10658339.88,21.0266940451745
"Agencia_44",0.0314046160004777,0.0341682669691427,0.0197013059025854,0.0250640379769154,0.0398997964668101,1.76840365822935,429517.046323529,2041798.3949,2802523.58,432929.294,2598,3188,2773930,28439823.52,110.390143737166
"Agencia_45",0.0375074026522267,0.0407044039145913,0.0458964473507648,0.0256551512586527,0.0720581604129893,2.04114115197083,453545.358488235,1947238.8324,2962864.28,462389.7829,2392,2698,1994230,25849333.64,114.989733059548
